Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
JavaScript.Как писать программы.Учебное пособие для вузов;2018;2883;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/845328/
JavaScript.Как писать программы Учебное пособие для СПО;2018;2883;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/845329/
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов;2160;3086;30;Хабаров, Шилкина;Лань;На складе;https://www.labirint.ru/books/845005/
Хочу в геймдев! Основы игровой разработки для начинающих;1169;1670;30;Уточкин, Сахнов;Бомбора;На складе (ограниченное количество);https://www.labirint.ru/books/840122/
Разработка игр и теория развлечений;1954;2791;30;Костер Рэф;ДМК-Пресс;На складе;https://www.labirint.ru/books/843721/
Структуры данных в Python. Начальный курс;1530;2185;30;Шихи Дональд Р.;ДМК-Пресс;На складе;https://www.labirint.ru/books/843722/
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений;1700;2428;30;Баттальини Рик;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/840960/
Микросервисы Spring в действии;3059;4370;30;Карнелл, Санчес;ДМК-Пресс;На складе;https://www.labirint.ru/books/840961/
Основы юзабилити-тестирования;3059;4370;30;Барнум Кэрол М.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/840964/
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов;2962;4231;30;Цирулик Владимир Григорьевич;Лань;На складе;https://www.labirint.ru/books/838998/
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие;1170;1671;30;Коренская Ирина Николаевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/789438/
Исследование операций. Том 1. Линейное программирование. Учебник для вузов;2173;3104;30;Трушков Александр Сергеевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/836938/
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше;1665;2378;30;Сабиров Василий Константинович;Бомбора;На складе;https://www.labirint.ru/books/834902/
Apache Airflow и конвейеры обработки данных;3230;4614;30;Харенслак, Руйтер;ДМК-Пресс;На складе;https://www.labirint.ru/books/834612/
Python для всех;1189;1698;30;Северанс Чарльз Р.;ДМК-Пресс;На складе;https://www.labirint.ru/books/834613/
Использование языка Python в теории вероятностей. Учебник;1320;1886;30;Криволапов Сергей Яковлевич;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/834626/
Экономика на Python. Учебник;960;1372;30;Хрипунова, Губернаторов;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/834636/
Гид Java-разработчика. Проектно-ориентированный подход;966;1380;30;Урма, Уорбэртон;Бомбора;На складе;https://www.labirint.ru/books/834110/
PHP 8. Объекты, шаблоны и методики программирования;4320;6172;30;Зандстра Мэтт;Диалектика;На складе;https://www.labirint.ru/books/832441/
Прикладное программирование на С/С++: с нуля;850;1214;30;Иванов Всеволод Борисович;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/648331/
Kubernetes изнутри;2548;3640;30;Вьяс, Лав;ДМК-Пресс;На складе;https://www.labirint.ru/books/911148/
R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;3059;4370;30;Лонг, Титор;ДМК-Пресс;На складе;https://www.labirint.ru/books/735550/
Олимпиадное программирование;1784;2548;30;Лааксонен Антти;ДМК-Пресс;На складе;https://www.labirint.ru/books/776224/
Kubernetes в действии;2719;3884;30;Лукша Марко;ДМК-Пресс;На складе;https://www.labirint.ru/books/673939/
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;1189;1698;30;Мейерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/411115/
Программирование в Roblox. Сделать игру - проще простого;1700;2428;30;Брамбо Зандер;ДМК-Пресс;На складе;https://www.labirint.ru/books/859415/
Введение в логическое программирование;1868;2668;30;Дженесерет, Чаудри;ДМК-Пресс;На складе;https://www.labirint.ru/books/831911/
Параллельное программирование на C# и .NET Core;1784;2548;30;Шакти Танвар;ДМК-Пресс;На складе;https://www.labirint.ru/books/831913/
Параллельные и высокопроизводительные вычисления;4248;6069;30;Роби, Замора;ДМК-Пресс;На складе;https://www.labirint.ru/books/829950/
Исследование операций в экономике. Практикум. Учебное пособие для вузов;2793;3990;30;Слабнов Виктор Дмитриевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/830645/
Тестирование программного обеспечения;527;753;30;Игнатьев Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/829644/
Разработка моделей предметной области автоматизации. Учебник для вузов;3260;4657;30;Котлинский Сергей Владимирович;Лань;На складе;https://www.labirint.ru/books/829645/
Разработка моделей предметной области автоматизации. Учебник для СПО;2949;4213;30;Котлинский Сергей Владимирович;Лань;На складе;https://www.labirint.ru/books/829646/
Тестирование программного обеспечения. Учебное пособие для СПО;527;753;30;Игнатьев Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/829648/
Проектирование человеко-машинного взаимодействия. Учебник для вузов;527;753;30;Игнатьев Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/829650/
Программные коллекции данных. Проектирование и реализация. Учебник;1707;2439;30;Романенко Татьяна Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/829651/
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО;1707;2439;30;Романенко Татьяна Александровна;Лань;На складе;https://www.labirint.ru/books/829652/
Clojure на производстве;1700;2428;30;Гришаев Иван;ДМК-Пресс;На складе;https://www.labirint.ru/books/828723/
Изучаем SHINY;2719;3884;30;Уикем Хэдли;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828725/
Анализ поведенческих данных на R и PYTHON;2548;3640;30;Бюиссон Флоран;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828096/
Разработка беспилотных транспортных средств;1868;2668;30;Лю, Ли, Тан;ДМК-Пресс;На складе;https://www.labirint.ru/books/828098/
Сети 6G. Путь от 5G к 6G глазами разработчиков;3909;5584;30;Тонг, Ахаваин, Чжу;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828099/
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат;480;686;30;Васильева, Громова;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/825689/
Проектирование цифровых образовательных ресурсов;900;1286;30;Коннова, Липагина, Постовалова;Прометей;На складе;https://www.labirint.ru/books/825803/
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие;1320;1885;30;Журавлев Антон Евгеньевич;Лань;На складе;https://www.labirint.ru/books/774223/
Web-программирование на JavaScript. Учебное пособие для СПО;1350;1928;30;Диков Андрей Валентинович;Лань;На складе;https://www.labirint.ru/books/786072/
Дизайн пользовательского опыта. Как создать продукт, который ждут;1530;2185;30;Уэлен Джон;Манн, Иванов и Фербер;На складе;https://www.labirint.ru/books/821000/
Алгоритмы. Теория и практическое применение;1474;2105;30;Стивенс Род;Эксмо;На складе;https://www.labirint.ru/books/823718/
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям;2038;2912;30;Граймс Роджер А.;ДМК-Пресс;На складе;https://www.labirint.ru/books/823072/
JavaScript. Обработка событий на примерах. Учебное пособие;1862;2660;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/821292/
ASP.NET CORE в действии;3654;5220;30;Лок Эндрю;ДМК-Пресс;На складе;https://www.labirint.ru/books/821842/
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100;2038;2912;30;Маслюк Даниил;ДМК-Пресс;На складе;https://www.labirint.ru/books/821844/
Программирование на PHP в примерах и задачах;1112;1588;30;Васильев Алексей;Эксмо-Пресс;На складе;https://www.labirint.ru/books/821219/
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов;2242;3203;30;Воскобойников Юрий Евгеньевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/820745/
Инженерные расчеты. Книга-билингва. Учебное пособие;2793;3990;30;Очков, Орлов, Тихонов;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/820748/
JavaScript. Обработка событий на примерах. Учебное пособие для СПО;1862;2660;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/821148/
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО;1707;2439;30;Алексеев Владимир Анатольевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/821149/
Ghidra. Полное руководство;3568;5097;30;Игл, Нэнс;ДМК-Пресс;На складе;https://www.labirint.ru/books/820558/
Изучаем WinUI 3.0;1700;2428;30;Эшкрафт Элвин;ДМК-Пресс;На складе;https://www.labirint.ru/books/820560/
SQL за 10 минут;1440;2057;30;Форта Бен;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/819364/
C# 9.0. Справочник. Полное описание языка;5088;7269;0;Албахари Джозеф;Диалектика;На складе;https://www.labirint.ru/books/817643/
Изучаем квантовые вычисления на Python и Q#;2889;4127;30;Кайзер, Гранад;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/817237/
Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие;1975;2821;30;Ощепков Александр Юрьевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/645026/
Коды с суммированием для систем технического диагностирования. В 2-х томах;1148;1766;35;Сапожников, Ефанов, Сапожников;Наука;На складе (ограниченное количество);https://www.labirint.ru/books/816351/
Основы тестирования программного обеспечения. Учебное пособие для СПО;2034;2906;30;Старолетов Сергей Михайлович;Лань;На складе;https://www.labirint.ru/books/812559/
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow;1784;2548;30;Ханнес, Нельсон;ДМК-Пресс;На складе;https://www.labirint.ru/books/815410/
Искусство тестирования на проникновение в сеть;1868;2668;30;Дэвис Ройс;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/813720/
Построение пользовательских интерфейсов;1868;2668;30;Малышев Кирилл Викторович;ДМК-Пресс;На складе;https://www.labirint.ru/books/813721/
Программная инженерия. Учебное пособие;2107;3010;30;Маран Михкель Михкелевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/646726/
Аналитика в Power BI с помощью R и Python;2548;3640;30;Уэйд Райан;ДМК-Пресс;На складе;https://www.labirint.ru/books/812712/
Программирование. Введение в профессию. Том 2. Системы и сети;2889;4127;30;Столяров Андрей Викторович;ДМК-Пресс;На складе;https://www.labirint.ru/books/812713/
Программирование. Введение в профессию. Том 3. Парадигмы;2889;4127;30;Столяров Андрей Викторович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/812715/
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;3682;5260;30;Тюкачев, Хлебостроев;Лань;На складе;https://www.labirint.ru/books/812475/
Изучаем SQL. Генерация, выборка и обработка данных;2881;4115;30;Болье Алан;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/811526/
Знакомство с программированием на языке Processing;1273;1819;30;Риас, Фрай;ДМК-Пресс;На складе;https://www.labirint.ru/books/811617/
Принятие решений и феномен неопределенности. Учебное пособие для вузов;1617;2310;30;Клименко Игорь Семенович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/795540/
Обработка и представление данных в MS Excel. Учебное пособие;960;1372;30;Бурнаева, Леора;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/806672/
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;3059;4370;30;Куссвюрм Даниэль;ДМК-Пресс;На складе;https://www.labirint.ru/books/810020/
Имитационное моделирование процессов и систем в АПК. Учебное пособие;1568;2240;30;Худякова, Липатов;Колос;На складе;https://www.labirint.ru/books/808263/
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;2444;3491;30;Умрихин Евгений Дмитриевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/807369/
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;2329;3327;30;Умрихин Евгений Дмитриевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/807371/
Программирование. Сборник задач. Учебное пособие для СПО;1439;2055;30;Маран, Батасова, Гречкина;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/807379/
Математическое программирование.СПО;1324;1892;30;Ганичева Антонина Валериановна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/807380/
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;2209;3155;30;Йо Ван Гуй;ДМК-Пресс;На складе;https://www.labirint.ru/books/806582/
Парадигма программирования. Учебное пособие;1867;2667;30;Городняя Лидия Васильевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/704350/
ASP.NET Core 3 с примерами на C# для профессионалов;5760;8229;0;Фримен Адам;Вильямс;На складе;https://www.labirint.ru/books/805135/
Основы программирования на языке Python;1019;1455;30;Златопольский Дмитрий Михайлович;ДМК-Пресс;На складе;https://www.labirint.ru/books/668926/
Python и анализ данных;3059;4370;30;МакКинни Уэс;ДМК-Пресс;На складе;https://www.labirint.ru/books/934317/
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;1189;1698;30;Мэйерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/427982/
Пользовательские истории. Гибкая разработка программного обеспечения;2881;4115;30;Кон Майк;Диалектика;На складе;https://www.labirint.ru/books/673282/
Kubernetes изнутри;2548;3640;30;Вьяс, Лав;ДМК-Пресс;На складе;https://www.labirint.ru/books/911148/
Программирование микроконтроллеров ATMEL на языке C;855;1221;30;Прокопенко Вадим Сергеевич;Корона-Принт;На складе;https://www.labirint.ru/books/379809/
HTTP/2 в действии;2719;3884;30;Поллард Барри;ДМК-Пресс;На складе;https://www.labirint.ru/books/802922/
Методика моделирования динамики октокоптера;1700;2428;30;Щекатуров Александр Михайлович;ДМК-Пресс;На складе;https://www.labirint.ru/books/802923/
Разработка и анализ компьютерных алгоритмов;2209;3155;30;Ахо, Ульман, Хопкрофт;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/799393/
Научное программирование на Python;2719;3884;30;Хилл Кристиан;ДМК-Пресс;На складе;https://www.labirint.ru/books/799449/
C#. Алгоритмы и структуры данных. Учебное пособие для СПО;2377;3396;30;Тюкачев, Хлебостроев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/798964/
C#. Программирование 2D и 3D векторной графики. Учебное пособие для СПО;2101;3001;30;Тюкачев, Хлебостроев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/798966/
Алгоритмизация и программирование. Практикум;1648;2354;30;Андрианова, Исмагилов, Мухтарова;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/798968/
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows;1660;2372;30;Заяц, Хабаров;Лань;На складе;https://www.labirint.ru/books/798992/
Построение распределенных систем на базе WebSocket. Учебное пособие;2052;2932;30;Хабаров, Шилкина;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/799003/
Практическое введение в язык программирования Си. СПО;1060;1514;30;Солдатенко, Попов;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/799005/
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО;1364;1949;30;Заяц, Васильев;Лань;На складе;https://www.labirint.ru/books/799008/
Простой Python для опытных программистов;936;1337;30;Гаско Рик;Солон-пресс;На складе;https://www.labirint.ru/books/798004/
Профессиональная разработка на Python;3230;4614;30;Уилкс Мэттью;ДМК-Пресс;На складе;https://www.labirint.ru/books/798005/
SimInTech. Преобразователи автономных источников электроэнергии;1273;1819;30;Калачёв, Александров;ДМК-Пресс;На складе;https://www.labirint.ru/books/796696/
JavaScript. Готовые программы. Учебное пособие;1397;1995;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/795547/
JavaScript. Готовые программы. СПО;1242;1774;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/795550/
Разработка базы данных в Access. Учебное пособие;300;429;30;Волик Мария Владимировна;Прометей;На складе;https://www.labirint.ru/books/792514/
Основы программирования на языке С. Учебное пособие;1500;2143;30;Гагарина, Дорогова;ИНФРА-М;На складе (ограниченное количество);https://www.labirint.ru/books/793210/
Интеллектуальные информационные системы и методы искусственного интеллекта. Учебник;2857;4081;30;Андрейчиков, Андрейчикова;ИНФРА-М;На складе;https://www.labirint.ru/books/790710/
Инструментальные средства разработки программного обеспечения Системы Fossil;2209;3155;30;Орещенков Игорь Сергеевич;Лань;На складе;https://www.labirint.ru/books/789436/
Python. Сборник упражнений;1189;1698;30;Стивенсон Бен;ДМК-Пресс;На складе;https://www.labirint.ru/books/789308/
Карьера программиста;1687;2410;30;Лакман Макдауэлл Гейл;Питер;На складе;https://www.labirint.ru/books/534569/
Структуры и алгоритмы обработки данных. Учебник для СПО;1280;1829;30;Павлов, Первова;Лань;На складе;https://www.labirint.ru/books/786032/
Численные методы и программирование. Учебное пособие для СПО;3597;5138;30;Слабнов Виктор Дмитриевич;Лань;На складе;https://www.labirint.ru/books/786067/
Технология разработки программного обеспечения. Учебное пособие для СПО;2444;3491;30;Зубкова Татьяна Михайловна;Лань;На складе;https://www.labirint.ru/books/786076/
Spark в действии. С примерами Java, Python и Scala;3398;4854;30;Перрен Жан-Жорж;ДМК-Пресс;На складе;https://www.labirint.ru/books/784236/
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников;2209;3155;30;Фоукс, Спарроу;ДМК-Пресс;На складе;https://www.labirint.ru/books/784237/
JavaScript. Полное руководство;4320;6172;30;Флэнаган Дэвид;Вильямс;На складе;https://www.labirint.ru/books/779734/
Проектирование информационных систем. Методы и средства структурно-функционального проектирования;1165;1664;30;Гвоздева, Баллод;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/779887/
Структуры дан.в C#.Линейные и нелинейные динамические структуры. Учебное пособие для СПО;1242;1774;30;Симонова Елена Витальевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/779889/
Проектирование информационных систем. Стандартизация, техническое документирование информ. систем;1530;2186;30;Гвоздева, Баллод;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/779898/
Системы отображения информации. Дискретные индикаторы. Учебник для вузов;2377;3396;30;Смирнов Виктор Михайлович;Лань;На складе;https://www.labirint.ru/books/779906/
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;2160;3086;30;Кудинов, Пащенко, Пащенко;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/779911/
Kotlin. Сборник рецептов. Предметный подход;1700;2428;30;Коузен Кен;ДМК-Пресс;На складе;https://www.labirint.ru/books/776186/
Олимпиадное программирование;1784;2548;30;Лааксонен Антти;ДМК-Пресс;На складе;https://www.labirint.ru/books/776224/
Компьютерная арифметика. Учебное пособие. СПО (+CD);1083;1547;30;Иорданский Михаил Анатольевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/774615/
Программирование. Практикум. Учебное пособие;503;718;30;Быкадорова Елена Анатольевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/774623/
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие;696;994;30;Иванько, Иванько;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/774628/
Алгебра и геометрия с примерами на Python. Учебное пособие;4171;5959;30;Борзунов, Кургалин;Лань;На складе;https://www.labirint.ru/books/774216/
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие;1711;2444;30;Журавлев, Макшанов, Тындыкарь;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/774232/
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;1752;2503;30;Гуриков Сергей Ростиславович;ИНФРА-М;На складе (ограниченное количество);https://www.labirint.ru/books/773783/
Hello World! Программирование для детей и взрослых;1868;2668;30;Сэнд, Сэнд;ДМК-Пресс;На складе;https://www.labirint.ru/books/773257/
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие";1656;2366;30;Дадян Эдуард Григорьевич;ИНФРА-М;На складе;https://www.labirint.ru/books/772629/
Проектирование информационных систем. Учебное пособие. СПО;2266;3237;30;Вейцман Владимир Моисеевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/772001/
Создание сайтов на основе WordPress. Учебное пособие для СПО;891;1273;30;Сергеев Алексей Николаевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/772002/
Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем;2548;3640;30;Мицуфуджи, Хардинг, Мозер;ДМК-Пресс;На складе;https://www.labirint.ru/books/771291/
Инфокоммуникационные системы. Учебник;2587;3695;30;Журавлев, Макшанов;Лань;На складе;https://www.labirint.ru/books/771556/
Инфокоммуникационные системы. Учебник;2907;4153;30;Журавлев, Макшанов, Иванищев;Лань;На складе;https://www.labirint.ru/books/771557/
Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services;3484;4977;30;Феррари, Руссо;ДМК-Пресс;На складе;https://www.labirint.ru/books/768443/
Хаос-инжиниринг;2038;2912;30;Розенталь, Джонс;ДМК-Пресс;На складе;https://www.labirint.ru/books/766759/
Цифровая обработка сигналов на системном уровне с использованием LabVIEW;1530;2185;30;Кехтарнаваз, Ким;ДМК-Пресс;На складе;https://www.labirint.ru/books/766760/
Спортивное программирование. Новый нижний предел соревнований по программированию;2719;3884;30;Халим, Халим;ДМК-Пресс;На складе;https://www.labirint.ru/books/765518/
Криптография - наука о тайнописи. Учебное пособие;300;429;30;Фомичев Владимир Михайлович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/762904/
Прикладное программирование. Учебное пособие;760;1086;30;Никифоров Сергей Николаевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/762553/
Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени;2038;2912;30;Полухин Антон;ДМК-Пресс;На складе;https://www.labirint.ru/books/761225/
Разработка и реализац.портальн.решений: Практикум;480;686;30;Лукьянов, Маркова;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/756301/
Генетические алгоритмы на Python;2209;3155;30;Вирсански Эйял;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/756485/
C#. Основы программирования. Учебное пособие;2418;3454;30;Тюкачев, Хлебостроев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/598758/
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;931;1330;30;Залогова Любовь Алексеевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/755512/
Istio. Приступаем к работе;1868;2668;30;Калькот, Бутчер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/755900/
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях;1418;2026;30;Шипилов Игорь Викторович;Наш круг;На складе;https://www.labirint.ru/books/946802/
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;2209;3155;30;Йо Ван Гуй;ДМК-Пресс;На складе;https://www.labirint.ru/books/806582/
Анализ поведенческих данных на R и PYTHON;2548;3640;30;Бюиссон Флоран;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828096/
Python. Разработка на основе тестирования;3230;4614;30;Персиваль Гарри;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/641696/
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;1868;2668;30;Нидхем, Ходлер;ДМК-Пресс;На складе;https://www.labirint.ru/books/735551/
Информационная безопасность. Защита и нападение;2548;3640;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981050/
Проектирование веб-API;2038;2912;30;Лоре Арно;ДМК-Пресс;На складе;https://www.labirint.ru/books/754820/
Эволюционные нейросети на языке Python;2038;2912;30;Омельяненко Ярослав;ДМК-Пресс;Скоро закончится;https://www.labirint.ru/books/751094/
Алгоритмы обучения с подкреплением на Python;2038;2912;30;Лонца Андреа;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/750383/
Цифровой синтез. Практический курс;2379;3398;30;Романов, Антонов, Панчул;ДМК-Пресс;На складе;https://www.labirint.ru/books/750384/
Системное программирование. Лабораторные работы. Учебное пособие;1131;1616;30;Жулабова Фатима Тахировна;Лань;На складе;https://www.labirint.ru/books/750081/
Программист-прагматик;2881;4115;30;Томас, Хант;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/749461/
Параллельное программирование на C++ с помощью библиотеки TBB;3398;4854;30;Восс, Асенхо, Рейндерс;ДМК-Пресс;На складе;https://www.labirint.ru/books/749471/
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;1784;2548;30;Феррари, Руссо;ДМК-Пресс;На складе;https://www.labirint.ru/books/748723/
Распределенные системы реального времени. Теория и практика;2038;2912;30;Эрджиес Кайхан;ДМК-Пресс;На складе;https://www.labirint.ru/books/748724/
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;2209;3155;30;Льюис, Данн;ДМК-Пресс;На складе;https://www.labirint.ru/books/748534/
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум;1530;2186;30;Фриск, Ганин, Степанова;Солон-пресс;На складе;https://www.labirint.ru/books/747818/
Управление памятью в .NET для профессионалов;3484;4977;30;Кокоса Конрад;ДМК-Пресс;На складе;https://www.labirint.ru/books/746344/
Исследование операций и методы оптимизации. Учебное пособие;512;732;30;Болотский, Кочеткова;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/745455/
Веб-компоненты в действии;1868;2668;30;Фаррелл Бен;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/744495/
Архитектура компьютерных систем. Курс лекций. Учебное пособие;1284;1834;30;Белугина Светлана Викторовна;Лань;На складе;https://www.labirint.ru/books/742186/
Разработка программных модулей программного обеспечения для компьютерных систем;2278;3254;30;Белугина Светлана Викторовна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/742187/
Основы программирования информационного контента. Учебное пособие;652;932;30;Быкадорова, Синявская;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/742188/
Численные методы. Учебник;3970;5672;30;Слабнов Виктор Дмитриевич;Лань;На складе;https://www.labirint.ru/books/742191/
Введение в глубокое обучение;1152;1646;30;Черняк Евгений;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/740967/
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов;1700;2428;30;Нобак Маттиас;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/739707/
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие;367;524;30;Бастрон, Охапкина;РГГУ;На складе;https://www.labirint.ru/books/738387/
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ;450;643;30;Ефимова Елена Анатольевна;РГГУ;На складе;https://www.labirint.ru/books/738397/
SCALA для нетерпеливых;1530;2185;30;Хостманн Кей;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/599194/
Рекомендательные системы на практике;2209;3155;30;Фальк Ким;ДМК-Пресс;На складе;https://www.labirint.ru/books/736526/
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе;2209;3155;30;Заметти Франк;ДМК-Пресс;На складе;https://www.labirint.ru/books/737824/
C# 8.0. Карманный справочник;1152;1646;30;Албахари, Албахари;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/736132/
Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство;3648;5212;30;Дейли, Дейли, Дейли;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/736136/
Разработка игр на Unity 2018 за 24 часа;2045;2922;30;Гейг Майк;Бомбора;На складе;https://www.labirint.ru/books/735741/
