Название;Количество звёзд отеля;Описание отеля;Андрес отеля;Ссылка
Regnum Carya Golf & Spa Resort; 5*;Regnum Carya Golf And Spa Resort 5* - новый роскошный отель в пригороде Белека, поселке Кадрие. Он находится в 35 км от аэропорта Антальи и всего в километре от города. Отель располагает всеми стандартными удобствами, свойственными 5-звездочным отелям Турции, но не останавливается на этом. Местное поле для гольфа стало первым и пока единственным на континенте полем с освещением. Играть в гольф здесь можно и днем и ночью! Кроме того, с апреля 2014 года начинает свою работу футбольная академия одного из крупнейших футбольных клубов в мире, Chelsea FC.;Kadriye Bölgesi, Üçkum Tepesi Mevkii, Belek-Antalya;https://tury.ru/hotel/id/759660-turkey-kadriye-serik-regnum-carya-golf-and-spa-resort-5
Sandals Grande Antigua Resort & Spa; 5*;"Отель Sandals Grande Antigua Resort&Spa расположен на северо-западном побережья острова. Откройте для себя лучшее, что есть на свете по обе стороны Атлантики, в райском уголке, получившем название ""Самого романтического в мире"" пляжа острова Антигуа - Dickenson Bay. Здесь Вы найдёте экзотический мир с пышными тропическими садами Карибской Деревни, с коттеджами Rondovals в ирландском стиле ( необычная округлая форма, конические крыши диаметром 6 м), с салоном Red Lane Spa, предлагающим эксклюзивные спа-услуги. Здесь же находится пятизвёздочная Средиземноморская Деревня - воплощение роскоши и утончённости - исключительно с номерами класса люкс. Шикарные номера Villa Suites, имеющие индивидуальные бассейны, соседствуют с морем и самым большим на острове бассейном с пологим спуском в воду. Вне зависимости от того, какую обстановку Вы предпочтёте, этот отель мирового класса предложит Вам всё, что создано для роскоши и романтики.";P. O. Box 147, Dickenson Bay, St. John’s, Antigua;https://tury.ru/hotel/id/54356-antigua-and-barbuda-antigua-sandals-grande-antigua-resort-spa-5
Sandals Montego Bay; 5*;Sandals Montego Bay (Сандалс Монтего Бей) - самый первый отель цепочки Sandals. Оживленный, и в то же время спокойный. Непринужденный, но эксклюзивный. Роскошный сад тянется вдоль всего белопесчанного пляжа, являющегося самым длинным частным пляжем Ямайки. С номерами люкс, спа-салоном Red Lane Spa, 7 великолепными ресторанами, самым оживленным баром в бассейне на острове – в этом отеле веселье никогда не кончается. А если Вам хочется покоя, забронируйте тихий и безмятежный Bay Roc Estates, где Вы сможете отдохнуть на укромной прибрежной вилле с новым стандартом роскоши. Это удивительно гостеприимное место с заботливым, как члены одной семьи, штатом сотрудников – это то место, куда многие гости возвращаются год за годом.;P.O. Box 100, N. Kent Avenue, Montego Bay, St. James, Jamaica, West Indies;https://tury.ru/hotel/id/51122-jamaica-montego-bay-sandals-montego-bay-5
Sandals Negril Beach Resort & Spa; 5*;Sandals Negril Beach Resort & Spa (Сандалс Негрил Бич Резорт & Спа) расположен на самой длинной и самой лучшей части знаменитого семимильного пляжа курортного района Негрил. Наслаждаясь свободой и элегантностью на босу ногу, влюбленные окунутся в расслабленную романтическую атмосферу этого шикарного отеля. Основным видом спорта здесь является дайвинг, которому можно предпочесть разве что наслаждение музыкой Боба Марли с бокалом коктейля Rumrunner в руке. Чрезвычайной популярностью пользуются также блюда 6 изысканных ресторанов и процедуры в салоне Red Lane Spa. Исключительно разнообразны категории номеров: курорт предлагает несравненные двухэтажные номера люксы Loft Suites, роскошные Plantation Suites и Beachfront Swim-Up River Suites, где Ваш персональный бассейн начинается прямо у дверей номера. Обстановку тропической роскоши внутри дополняют 2 плазменных телевизора и изящная мебель в стиле колониальной эпохи. Расслабьтесь и отдохните в самом ярком и беспечном уголке Ямайки!;P.O. BOX 12, Negril Westmoreland, JAMAICA W.I.;https://tury.ru/hotel/id/36200-jamaica-negril-sandals-negril-beach-resort-spa-5
Sandals Whitehouse European Village & Spa; 5*;Отель Sandals Whitehouse European Village & Spa 5* - откройте для себя нетронутое южное побережье Ямайки, которое не оставляет равнодушным никого из гостей. Отель Sandals Whitehouse окружен тропическим лесом площадью 500 акров. Этот курорт с огромной территорией вобрал в себя всё лучшее, чем славятся отели Sandals, включая природу невероятной красоты. Созданный для того, чтобы удивлять, этот курорт имеет три бассейна, способные целиком отразить ямайское небо, и великолепный белопесчаный пляж, протянувшийся более чем на 3 километра и позволяющий любоваться рассветами и закатами. В сердце курорта расположена огромная площадь, на которой Вы найдете рестораны изысканной кухни, великолепное лобби с огромными мраморными колоннами и сводчатыми потолками, а также притягательный салон Red Lane Spa. Сделайте выбор между тремя европейскими деревнями: очаровательной Голландской, утонченной Французской и романтической Итальянской. Из номеров каждой деревни открывается завораживающий вид на океан.;P.O. Box 5000, Whitehouse, Westmoreland, Jamaica, West Indies;https://tury.ru/hotel/id/54284-jamaica-white-house-sandals-whitehouse-european-village-spa-5
Sokos Hotel Palace Bridge  / Сокос Палас Бридж отель; 5*;Palace Bridge 5* -  уникальный отель, который находится на Васильевском острове в историческом центре Санкт-Петербурга. Он назван в честь Дворцового моста, который расположен поблизости, является одним из самых известных в городе и ведет к основным достопримечательностям центра – Эрмитажу, Дворцовой площади, Адмиралтейству, Исаакиевской площади и началу Невского проспекта. Все они находятся в пешей доступности от отеля. Идеально вписанный в исторический интерьер старинного здания, принадлежавшего знаменитой династии Елисеевых,  уникальный отель обладает неповторимой атмосферой и впечатляет своими масштабами.;V.o. Birzhevoi Pereulok 2-4, 199004  St. Petersburg;https://tury.ru/hotel/id/67349-russia-st-petersburg-palace-bridge-spa-hotel-5
The Royal Crescent hotel; 5*;Отель The Royal Crescent hotel 5* расположен в окрестностях города Бат (Bath).;16 Royal Crescent, Bath, BA1 2LS;https://tury.ru/hotel/id/89634-great-britain-bath-the-royal-crescent-hotel-5
The Westin Palace; 5*;"The Westin Palace (Зе Вестин Пэлас) 5* расположен около музея Прадо, в окружении исторических памятников и лучших ресторанов города, которые специализируются на традиционных испанских закусках; в 14 км от аэропорта Барахас. «Золотой перечень 2008 года» журнала Conde Nast Traveler оценил Вестин Палас Мадрид как лучший отель Испании. Отель был построен в 1912 году по указу самого короля Альфонса XIII. Величественное здание, увенчанное огромным витражным стеклянным куполом, было центром испанского общества на протяжении почти 100 лет. В обширном списке предоставляемых услуг имеются комнаты для деловых встреч, рестораны, бары, магазины, салон красоты и фитнесс-центр WestinWORKOUT с видом на город.";Plaza de las Cortes 7, Madrid 28014, Spain;https://tury.ru/hotel/id/408802-spain-madrid-gorod-the-westin-palace-5
Gran Bahia Principe Akumal; 5*;Отель Gran Bahia Principe Akumal 5* (Гран Бая Принципе Акумал 5*) принадлежит комплексу Hacienda Dona Isabel и считается одним из лучших отелей на Карибском побережье. Благодаря своей инфраструктуре и отличному расположению отель по праву соответствует свое уровню.Здесь архитектура и природа живут в унисон, дополняя друг другу на радость туристов. От аэропорта Канкуна до отеля час езды, 30 минут до пляжа Кармен и 20 минут до Тулума. Отель предлагает специальные программы для молодоженов.;Playa Aventuras Akumal. Crtra. Xetumal - Cancun, Km. 249, 77760 Quintana Roo. RIVIERA MAYA (Mexico);https://tury.ru/hotel/id/73034-mexico-cancun-gran-bahia-principe-akumal-5
Bali Hyatt; 5*;"Bali Hyatt 5* (Бали Хайят 5*) - один из первых отелей построенных на Бали, расположен на восточном побережье острова, на 6 километровом пляже Sanur Beach (Санур Бич), в 20 минутах езды (15 км) от аэропорта и в 10 минутах езды от столицы Бали - Денпасара.Комплекс Bali Hyatt, расположившийся на 14,5 га тропического сада на побережье Индийского океана построен в традиционном балинезийском стиле состоит из 3 корпусов основного здания, названных именами прекрасных тропических цветов: Hibiscus, Frangipani и Bougainvillea, а также клубного корпуса Regency Club с собственной стойкой регистрации и клубной гостиной, в которой для гостей клубных номеров сервируется завтрак, послеобеденный чай и вечерние коктейли.Элегантные строения с соломенными крышами, задуманные в стиле традиционной балинезийской деревни, укрылись в тени роскошного тропического сада и окружены заросшими лотосом искусственными прудами и бассейнами.В отеле есть все необходимое для отдыха с детьми, занятий разнообразными видами спорта и развлечений, а также организации массовых мероприятий и роскошных свадебных церемоний и торжеств.";P.O. Box 392, Sanur, Bali, Indonesia;https://tury.ru/hotel/id/18734-indonesia-bali-bali-hyatt-5
