Название;Количество звёзд отеля;Описание отеля;Андрес отеля;Ссылка
Neptune Pwani Beach Resort & Spa; 5*;Отель Neptune Pwani Beach Resort & Spa 5* (Нептьюн Пвани Бич резорт энд СПА 5*) -  новый, построен в апреле 2007 года, расположен на восточном побережье Занзибара, в 40 км от аэропорта, 45 минут езды от Стоун Таун.;PO BOX 3466, Zanzibar;https://tury.ru/hotel/id/60171-tanzania-zanzibar-neptune-pwani-beach-resort-spa-5
Grecotel Creta Palace; 5*;Гостиничный комплекс Grecotel Creta Palace (Грекотель Крета Палас) группы Grecotel расположен на песчаном пляже, в 4 км от города Ретимно, в 65 км от аэропорта Ханья, в 79 км от аэропорта Ираклиона. Отель признан одним из десяти лучших курортных отелей Европы. И гости, и международные организации отмечают этот отель за его высококлассный сервис, отличную кухню и активную деятельность в области охраны окружающей среды. Это отель высочайшего класса. Начиная с облицованного мрамором холла и кончая роскошными номерами, гостиничный комплекс Creta Palace представляет собой сочетание стиля, качества, надежности. Он состоит из центрального корпуса, трех комплексов бунгало, построенных в стиле традиционной критской деревни, и со всех сторон окружен садами и роскошных вилл. Гости чувствуют себя здесь комфортно, удобно и уютно. Прекрасно обученный персонал профессионально и вместе с тем ненавязчиво выполняет свои обязанности. Отель расположен в 4 км от Ретимно на обширной территории, всего в 300 метрах от песчаного пляжа. Воздух здесь наполнен тонким ароматом благоухающих цветов. Архитектурный стиль отеля, создающий впечатление простора, современный и традиционный одновременно, опирается на применение местных критских строительных материалов, как, например, альфа – камень (вид известняка) и мрамор. На всей территории отеля предусмотрены рампы. Расположение: Grecotel Creta Palace расположен на 14-километровом пляже Ретимно. Это второе по значимости на Средиземноморье место гнездования морских черепах сaretta, находящихся под угрозой исчезновения. Отель находится в мирной и тихой зоне и в то же время на небольшом расстоянии от города Ретимно и соседней полной жизни деревушки Платаниас.;Missiria, Rethymno 741 00 Greece;https://tury.ru/hotel/id/56398-greece-crete-grecotel-creta-palace-5
Anantara Muine Resort & Spa; 5*;Роскошный отель Anantara Mui Ne Resort & Spa (Анантара Муй Не Резорт энд Спа) 5* (ex. Lanmien Resort and SPA 5*) расположен на Фантьете - одном из лучших пляжных курортов Вьетнама, в окружении кокосовых пальм, прямо на берегу моря. Отель находится 198 км от аэропорта г.Хошимин, в 12 км от г.Фантьет. Концепция отеля предполагает сочетание эко стиля и высокого сервиса - в отделке номеров использованы только натуральные материалы.;Mui Ne Beach, KM10, Ham Tien Ward, Phan Thiet City, Binh Thuan Province, Vietnam;https://tury.ru/hotel/id/66191-vietnam-mui-ne-anantara-mui-ne-resort-spa-ex-l-anmien-resort-spa-5
Intercontinental Bali Resort; 5*;"Отель Intercontinental Bali Resort 5* входит в сеть отелей InterContinental что гарантирует высочайший уровень обслуживания и безупречный сервис! Невысокие корпуса отеля живописно расположились среди тропической растительности. В просторных, оборудованных по последним технологиям, номерах отеля - изысканные интерьеры, с отделкой из натурального дерева, изящной мебелью ручной работы, украшенные тщательно подобранными оригинальными работами местных художников, с балконов и террас открывается изумительный вид на залив, живописные бассейны и тропические сады. Этот отель считается одним из самых элегантных и роскошных на острове, а его 500-метровый пляж является лучшим на Бали т.к. в залив Jimbaran славится отсутствием приливов и отливов. Территория отеля утопает в тропической зелени, а ландшафтный дизайн выполнен в балийском и японском стиле, с множеством фонтанов, лагун и водоемов с золотыми рыбками. Символом изысканного вкуса и респектабельности являются белые и черные лебеди, величественно разгуливающие по территории отеля.Отель расположен на южном побережье курорта Jimbaran, в 10 км (15 минутах езды) от международного аэропорта Ngurah Rai в Денпасаре.";Jalan Uluwatu 45 Jimbaran - Bali - 80361 Indonesia;https://tury.ru/hotel/id/41115-indonesia-jimbaran-intercontinental-bali-resort-5
Leopard Beach Resort & Spa; 5*;Отель Leopard Beach Resort & Spa (Леопард Бич Резорт энд Спа) 5* расположен на самом элегантном курорте Кении - на известном пляже Diani, в 34 км от г. Момбаса, в 45 км от аэропорта Мои. Это один из лучших отелей Кении, неоднократно получавший престижную премию World Travel Awards.;Ukunda, Diani Beach Road, South Coast, Kenya;https://tury.ru/hotel/id/28568-kenya-mombasa-leopard-beach-resort-spa-5
Marriott Sharm Resort (Beach & Mountain); 5*;Отель Marriott Sharm El Sheikh Resort (Beach & Mountain) 5* расположен на известном Египетском курорте Шарм Эль Шейх в районе Наама Бэй. Международный аэропорт Шарм Эль Шейк находится в 12 км. Отель состоит из двух частей: Marriott Sharm Beach 5*, расположенный прямо на берегу Красного моря, и Marriott Sharm Mountain 5*, расположенный через дорогу от Marriott Sharm Beach 5*. Гости обоих отелей могут пользоваться услугами всего комплекса.;Naama Bay, Sharm El Sheikh, South Sinai, Egypt;https://tury.ru/hotel/id/3638-egypt-naama-bay-marriott-sharm-resort-beach-mountain-5
Danieli; 5*;Danieli 5* - один из лучших отелей Венеции, расположенный на престижной улице Рива дель Счиавони и в 6 км от аэропорта Marco Polo. В 2007 году он был внесен в Золотой Список справочника Conde Nast Traveler. Здание отеля Danieli хранит в себе многовековую историю. Оно было построено в XIV веке и некогда было домом семьи дожа Дандоло. Тонкотканые ковры, люстры из муранского стекла, резные колонны из розового мрамора, витражи, высокие потолки, украшенные золотыми листьями, подчеркивают величие лестницы фойе. За резными дверями вас ждут булыжные мостовые, знаменитые каналы и Площадь Святого Марка. Престижное окружение, античная мебель, комфорт 225 гостевых номеров отражают богатую культуру города.;Riva degli Schiavoni 4196 · 30122 Venice, Italy;https://tury.ru/hotel/id/70007-italy-venice-danieli-5
InterContinental Mauritius Resort Balaclava Fort; 5*;Отель InterContinental Mauritius Resort Balaclava Fort (Интерконтиненталь Мауритус Резорт Балаклава Форт) 5* расположен в северной части Маврикия, на берегу залива Балаклава, в 15 мин езды от города Гранд Бэй, в 50 мин езды от международного аэропорта Plaisance. Современный комфортабельный отель находится на живописном побережье Индийского океана. Здесь созданы все условия для отличного отдыха на любой вкус: элегантные номера, оборудованные по последнему слову техники, великолепный пляж, просторный бассейн, прекрасные условия для водного спорта и других спортивных развлечений, СПА центр, детский клуб, рестораны и бары, восхищающие разнообразием изысканных блюд и напитков со всех уголков мира. Отель обеспечивает эксклюзивный отдых среди экзотической природы Маврикия.;Fort Coastal Road Ville Valio, Balaclava, Mauritius;https://tury.ru/hotel/id/69715-mauritius-grand-bay-grand-baie-intercontinental-mauritius-resort-balaclava-fort-5
Sheraton Addis; 5*;Sheraton Addis расположен в 2 400 метрах над уровнем моря, напротив Национального Дворца.;Taitu Street P.O. Box 6002 Addis Ababa Ethiopia;https://tury.ru/hotel/id/53418-ethiopia-addis-ababa-sheraton-addis-5
Attaleia Shine Tennis Spa Luxury; 5*;Attaleia Shine Luxury Hotel – новый уникальный элитный отель, где окунаешься в подлинную роскошь, а отдых становится истинным наслаждением. Открытый в 2008 году, он занимает площадь 80 000 кв. м. Отель предназначен для гостей VIP класса, является настоящим символом изысканности и богатства. Это шикарный отель, предлагающий эксклюзивный сервис и первоклассную кухню, он олицетворяет традиции дворцового стиля. Отельный комплекс состоит из двух 5-ти и 6-этажных зданий, соединенных между собой, каждое из которых оснащено 2 панорамными лифтами.;Tasliburun Mevkii, BELEK-ANTALYA-TURKEY;https://tury.ru/hotel/id/54995-turkey-belek-attaleia-shine-tennis-spa-luxury-5
Grecotel Kos Imperial hotel; 5*;Идеальный курорт для всех! Особенностью роскошного курорта являются лагуны, окруженные цветущими садами, экзотические бассейны с извилистыми речками, кристально чистое море. Широкий выбор комфортабельных номеров, рестораны, бары, спа-центр, детский клуб, детское кафе, спорт, развлечения.;GR 85300, Psalidi, Kos, Greece;https://tury.ru/hotel/id/32885-greece-kos-grecotel-kos-imperial-5
Bintan Lagoon Resort; 5*;"Отель Bintan Lagoon Resort 5* (Бинтан Лагун Ресорт 5*) расположен на северо-западном побережье острова Бинтан.Трансфер из Сингапура составляет 1 час 20 минут – 55 минут на катамаране до острова и 25 минут на автомобиле от причала до отеля.Стильно оформленные виллы - идеальное место для семейного отдыха и совместного отдыха с друзьями.Резная мебель из красного дерева, традиционные индонезийские ткани и изделия мастеров используются во внутреннем убранстве вилл.";Jalan Indera Segara Site A12. Bintan Utara, Lagoi, Kepri 29155 Indonesia;https://tury.ru/hotel/id/44889-indonesia-bintan-island-bintan-lagoon-resort-5
Atrium Prestige Thalasso Spa Resort and Villas / Атриум Престиж Талассо Спа Ресорт энд Виллас; 5*;Отель Atrium Prestige Thalasso Spa Resort and Villas (Атриум Престиж Талассо СПА Резорт энд Виллас) 5* расположен на юго-востоке о-ва Родос, в 75 км от г. Родос и главного порта, в районе Лаханья, на уединенном песчаном пляже в окружении девственной природы. Расстояние до Прассониси - рая для виндсерферов - 18 км, до г. Линдоса - исторического и культурного центра – 30 км. Аэропорт находится примерно в 77 км.;Lachania;https://tury.ru/hotel/id/70944-greece-rhodes-atrium-prestige-thalasso-spa-resort-and-villas-5
Al Ain Rotana Hotel; 5*;Отель Al Ain Rotana Hotel 5* (Аль Айн Ротана 5*) расположен в 120 км от Дубая и 160 км от Абу Даби в городе Эль-Айн, в 155 км от аэропорта г.Дубаи.;Sheikh Zayed Road P.O. Box 1210 Al Ain, UAE;https://tury.ru/hotel/id/29958-uae-al-ain-al-ain-rotana-hotel-5
Amandari; 5*;"Amandari 5* (Амандари 5*) - один из отелей известной и популярной гостиничной сети Aman. Эти гостиницы отличаются безукоризненным сервисом, прекрасными условиями проживания. В 2005 году Aman признали лучшей гостиничной группой в Азии. Амандари располагается неподалеку от культурного центра, романтичного городка Убуд, ставшим Меккой для художников и людей искусства, рядом с ущельем, в долине реки Аюнг. В деревушке Кедеватан, построенной неподалеку, кипит жизнь, и, наблюдая за жителями, можно многое узнать о культуре Бали. Амандари обозначает ""дух спокойствия"". Здесь вы забудете обо всех хлопотах и расслабитесь по-настоящему. Отель был открыт в 1989 году, но с тех пор несколько раз полностью ремонтировался. По виду гостиничный комплекс напоминает балийскую деревушку. Вдоль побережья раскиданы невысокие бунгало, а между ними проложены дорожки из речного камня и ракушек. Внутри домики очень комфортные, оснащенные всем необходимым для роскошного отдыха.Земля здесь и в долине реки считается священной, раз в полгода бассейн наполняется святой водой. Неподалеку, в скале, на которой вырезан тигр, находятся несколько древних гробниц.";Kedewatan, Ubud, Bali, Indonesia PO Box 33, Ubud 80571, Indonesia;https://tury.ru/hotel/id/75712-indonesia-bali-amandari-5
Amankila; 5*;Отель Amankila (Аманкила) 5* - это бутик-отель с концепцией сдержанной роскоши. Отель расположен на восточном побережье острова Бали, в часе езды от аэропорта Denpasar, в 5 минутах ходьбы от пляжа. В отеле Amankila всего 34 номера. Каждый из них представляет собой отдельно стоящее бунгало. Из номеров открывается захватывающая панорама моря и зеленых холмов Восточного Бали. В этой части острова сохранились впечатляющие древние храмы и королевские дворцы, а также множество живописных деревушек, уклад жизни которых не меняется в течение столетий.;PO Box 33, Manggis 80871 Karangesam, Bali, Indonesia;https://tury.ru/hotel/id/69179-indonesia-bali-amankila-5
Ararat Park Hyatt Moscow hotel / Арарат Парк Хаятт Москва отель; 5*;Отель Арарат Парк Хаятт Москва (Ararat Park Hyatt Moscow) 5* расположен в самом центре Москвы. Аэропорт Шереметьево находится в 35 км. В пешей доступности находятся такие известные достопримечательности, как Большой Театр, Красная площадь, здание Парламента.;4 Neglinnaya Street, Moscow, Russia;https://tury.ru/hotel/id/69962-russia-moscow-ararat-park-hyatt-moscow-5
ARIA Resort & Casino; 5*;"ARIA Resort & Casino (АРИА Ризорт энд Кезино) - огромный стеклянный отель на 4000 номеров, созданный по проекту Сезара Пелли. Он находится в центре нового района CityCenter, сосредоточившего в себе море ресторанов, магазинов, развлекательных центров, казино и отелей на площади в 67 акров.Каждая деталь в оформлении отеля тщательно выбиралась, каждая деталь здесь роскошна и уместна. Естественно, что все сервисы и удобства здесь отвечают современным нуждам. Отель собрал впечатляющую коллекцию из лучших поваров и ресторанных сетей мира.Такое слияние энергии и роскоши заставит ваше дыхание остановиться!";3730 Las Vegas Boulevard, Las Vegas, NV 89109;https://tury.ru/hotel/id/92609-usa-las-vegas-aria-resort-casino-5
Asimina Suites Hotel  Constantiniou Bros; 5*;"Добро пожаловать в новую эпоху!Вознаграждая преданность наших ценных клиентов, мы имеем честь представить очаровательный мир нового отеля Constantinou Bros Asimina Suites (Асмина Сьютс) 5*, роскошного 5-звёздочного отеля с многокомнатными номерами.Совершенно новый дизайн номеров сюитс предлагает максимально высокий уровень удобств, в соответствии с гостеприимством и первоклассным окружением. Откройте для себя чудеса полнейшей роскоши и порадуйте себя отдыхом в мраморной ванне, современными красотами дизайна и изящного декора этих изысканных номеров сюитс.";Poseidonos Ave P.O.  CY 8101, Pafos, Cyprus;https://tury.ru/hotel/id/90667-cyprus-paphos-town-constantinou-bros-asimina-suites-5
Bedarra Island Resort; 5*;Эксклюзивный отель Bedarra Island Resort 5* расположен на острове Bedarra на северо-восточном побережье, между Таунсвиллем и Кейрнсом, по соседству с островом Dunk, в окружении уникального тропического леса. Максимально возможное число гостей на острове – 32 человека, которые с комфортом могут разместиться на 16 уединенно стоящих виллах, спрятанных за тропическими деревьями от посторонних глаз и находящихся всего в нескольких минутах ходьбы от пляжа.;Bedarra Island, Cardwell Queensland, Australia 4870;https://tury.ru/hotel/id/62323-australia-bedarra-island-bedarra-island-resort-5
Bellagio; 5*;"Отель Bellagio (Белладжо) является квинтэссенцией роскоши и духа Лас-Вегаса. Прообразом отеля стала северо-итальянская деревня с таким же названием. Комплекс расположен у озера, его бары и рестораны спроектированы по образу и подобию деревенских заведений.Потолок центрального зала является настоящим произведением искусства. Он представляет собой 2000 висящих стеклянных цветков и носит название ""Цветы Озера Комо"".Ну а самое главное местное зрелище - Фонтаны Белладжо. На участке в 300 м на озере отеля устроено более 1000 фонтанов, образующих самую крупную цветомузыкальную систему в мире. Струи воды танцуют под разную музыку.";3600 Las Vegas Blvd South, Las Vegas, NV 89109;https://tury.ru/hotel/id/66161-usa-las-vegas-bellagio-5
Beverly Hills; 5*;Отель Beverly Hills 5* (Беверли Хиллз 5*) - предоставляет своим гостям отличный сервис класса люкс. Расположен на побережье Индийского океана, на песчанном, мало изведанном туристами пляже.;Lighthouse Road, Umhlanga Rocks, Durban, KwaZulu Natal, South Africa;https://tury.ru/hotel/id/45269-rsa-durban-beverly-hills-5
Bluebay Beach Resort; 5*;Отель Bluebay Beach Resort (Блюбэй Бич Резорт) 5* расположен на прекрасном широком бело-песчаном берегу острова Занзибар. Находится на самом красивом участке побережья и имеет площадь в 25 акров земли. Номера представлены в виде коттеджей с прекрасным видом на зеленые сады, бассейн, более 1,000 красивых пальм, сверкающий белый песчаный берег и голубизну моря. Коралловый риф обеспечивает необыкновенно теплое и безопасное плавание. Помимо самого великолепия чудесного Острова Специй, отель предлагает широкий выбор услуг.;Zanzibar, Tanzania;https://tury.ru/hotel/id/57925-tanzania-zanzibar-bluebay-beach-resort-5
Boston Harbor Hotel; 5*;"Boston Harbor Hotel (Бостон Харбор Хотел) расположен на Роус Уорф с видом на историческую гавань Бостона. Отель был удостоен оценки в 5 звезд от Forbes Forbes Travel Guide, он является членом Preferred Hotels & Resorts Worldwide, а также был включен в список ""Лучших отелей мира"" по оценкам Conde Nast Traveler.Роус Уорф является одним из самых известных мест в Бостоне. Бостонская Гавань является не только историческим, но и финансовым центром города. Здесь проходят такие мероприятия, как Operation Sail и BT Global Challenge.";70 Rowes Wharf, Boston, MA 02110;https://tury.ru/hotel/id/99789-usa-boston-massachusetts-boston-harbor-hotel-5
Brisbane Hilton; 5*;Отель Brisbane Hilton (Брисбен Хилтон) 5* находится в самом центре Брисбена, в двух кварталах от казино и недалеко от выставочного центра и здания Конвента. Приблизительно в 800 метрах отеля расположился парк South Bank Parklands. Отель предлагает своим гостям современные номера различных категорий, стильно оформленные и обставленные с заботой о комфорте проживающих в них гостей. В отеле работает ресторан, способный поразить своими интерьерами искушенного путешественника. Однако и кухня ресторана не оставит Вас равнодушным – блюда международной кухни, морепродукты и большой выбор вин заслуживают особого внимания. Для гостей работают бар и игровой зал с собственным баром. Расположен в 20 минутах езды от аэропорта и в нескольких минутах ходьбы от Центрального железнодорожного вокзала.;190 Elizabeth St, Brisbane, Australia 4001;https://tury.ru/hotel/id/69098-australia-brisbane-brisbane-hilton-5
Calistoga Ranch; 5*;"Calistoga Ranch (Калистога Ранч) является лучшим винным отелем (по оценкам Mr and Mrs Smith). Он находится в долине Напа - сердце виноделия в США. Calistoga Ranch - это 48 уютных бунгало, окутанных со всех сторон дубами и соснами.  Винная карта местного ресторана по количеству страниц может поспорить с произведениями известных писателей. Именно её чтение - главное здешние развлечение! Ведь люди приезжают сюда именно ради вина.  Желающие даже могут присоединиться к сбору урожая или обрезке лозы.";Address: 580 Lommel Road Calistoga, CA 94515;https://tury.ru/hotel/id/90912-usa-california-calistoga-ranch-5
Capsis Elite Resort - Oh! All-Suite Hotel; 5*;Capsis Elite Resort - Oh! All-Suite Hotel (Капсис Элит Резорт - Ох! Ол Сьют Хотел) самый эксклюзивный отель в Греции! Великолепные сюиты, мезонетты и виллы, площадь которых составляет от 45 до 820 метров, оснащены совместными и частными подогреваемыми бассейнами. Отель с эксклюзивными услугами и сервисом предназначен для VIP гостей. По желанию предоставляется возможность объединения сюитов и мезонетт. Отель является частью роскошного гостиничного комплекса OUT OF THE BLUE Capsis Elite Resort, расположенного на частном полуострове, в 25 км. от аэропорта Ираклиона, вблизи от рыбацкой деревушки Агия Пелагия. Огромный по площади комплекс предлагает разнообразный набор номеров, развлечений и услуг.;Aghia Pelaghia, 75100 Heraklion, Crete;https://tury.ru/hotel/id/63537-greece-crete-capsis-elite-resort---oh-all-suite-hotel-5
Casa Andina Private Collection - Arequipa; 5*;"Casa Andina Private Collection - Arequipa (Каса Андина Прайвэт Колекшн - Арекуипа) - один из самых роскошных отелей во всем Перу. Восстановленный в своем былом величии, этот особняк XVIII века из белого вулканического камня представляет интерес не только, как отель, но и как национальный исторический памятник. Когда-то на его территории находился монетный двор. В 2008 году после столетнего забвения была произведена его тщательная реконструкция. Реставраторам удалось восстановить оригинальные фрески, барельефы и даже часовню. Кроме этих архитектурных чудес, здесь вас ждет 41 уютный номер, потрясающий внутренний дворик и элегантный ресторан для гурманов. Отель находится в самом сердце исторического квартала Арекипа, буквально в нескольких шагах от великолепного монастыря Санта-Каталина XVI века и всего в 3 кварталах от Арекипа Плаза де Армас.";Calle Ugarte 403, Arequipa, Peru;https://tury.ru/hotel/id/105416-peru-arequipa-casa-andina-private-collection---arequipa-5
Comlongon Castle; 5*;"Comlongon Castle (Комлонгон Кэсл) - шотландский замок 15 века, расположенный рядом с Гретна в Шотландии. Отель  предоставляет своим постояльцам обширный спектр услуг, которые включают: роскошные номера разнообразных стилей и с хорошим оснащением; полный перечень услуг для проведения свадебных церемоний и всевозможных торжеств; ресторан, который обслуживается шеф-поваром высокой категории (каждый день подает новое меню с эксклюзивными блюдами, приготовленные с использованием местных продуктов); бар с большим разнообразием традиционных алкогольных напитков Шотландии и многое другое. Отель имеет богатую историю, не раз ремонтировался и реконструировался, но не потерял свой шарм и дух средневековой Шотландии. В интерьере отеля Вы увидите антикварную мебель, доспехи, оружие, знамена; в номерах - резные кровати с балдахином, предметы старины и многое другое что поможет Вам погрузится в средневековье. Так же есть номера, которые имеют не только ультра-современный стиль, но и хорошую оснащенность.Замок окружает богатая природа: ухоженные газоны, роскошные сады, декоративные пруды с карпами и лесные массивы.";CLARENCEFIELD, DUMFRIES, SCOTLAND, DG1 4NA;https://tury.ru/hotel/id/96926-great-britain-dumfries-and-galloway-comlongon-castle-5
Dreamland Luxury Villas and Spa / The Dreamland Luxury Villas & Spa; 5*;"Отель The DreamLand Luxury Villas and Spa 5* (Дримлэнд Лакшери Виллас энд Спа 5*) расположен в местечке Улувату на юге полуострова всего в 15 минутах езды от международного аэропорта, рядом с культурным парком Garuda Wisnu Kencana.Отель представляет собой комплекс из 33 эксклюзивных вилл с приватными бассейнами, расположившихся на 40 000 квадратных метрах тропических садов. Дизайн вилл совмещает модные тенденции современности с влиянием традиционного балийского стиля.";JL.Raya Uluwatu-Gang Tegeh Pall No.69 Br.Bakung Sari Ungasan Bali-Indonesia;https://tury.ru/hotel/id/53642-indonesia-bali-dreamland-luxury-villas-and-spa-5
Dusit Princess Korat; 5*;Отель Dusit Princess Korat 5* расположен в Тайланде, в городе Накхонратчасима. Отель находится в деловом центре района Исаан. Благодаря удобному расположению отеля, можно легко добраться к наиболее популярным туристическим местам в городе.;1137 Suranarai Road, Naimuang District, Amphur Muang, Nakhon Ratchasima 30000;https://tury.ru/hotel/id/69092-thailand-nakhon-ratchasima-city-dusit-princess-korat-5
E Unoto Retreat Luxury Lodge; 5*;Отель  E Unoto Retreat Luxury Lodge 5* (И Юното Ретрит Лакшери Лодж 5*) расположен на озере Мивалени, на равнине Maasai, в 14 км от национального парка озера Маньяра. Сюда можно перелететь самолетом от национальных парков Тарангире, Серенгети, Аруша, Нгоронгоро, горы Килиманджаро. Отель напоминает подлинную деревню коренных жителей Танзании – масаев, и состоит из отдельно стоящих круглых бунгало. Его проект был разработан с целью установления гармонии с окружающей средой, использованы традиционные архитектурные мотивы и экологические представления масаев: каменные дома с арочными окнами, крытые коническими соломенными крышами, с маленькими маковками на вершине.  Отель  специализируется на сафари, а также изучении этнокультурных традиций национального парка озера Маньяра. Экскурсии в местные деревни масаев, а также посещение национальных парков Тарангире, Серенгети, Аруша, Нгоронгоро, горы Килиманджаро. Программы сафари: пешее сафари, сафари на джипах, орнитологическое сафари. Кроме того, предлагаются экскурсии на лошадях и велосипедах, каноинг, рыбная ловля, а также гольф на поле в окрестностях города Аруша. Вечерние представления под открытым небом с народными песнями и танцами. Специальные программы проведения медового месяца: традиционная красочная свадьба масаев с переодеванием в национальную одежду (наряд невесты состоит из длинной туники, украшен ожерельями, наиболее великолепным из которых является свадебное ожерелье, достигающее колен) и соблюдением всех уникальных моментов церемонии бракосочетания.;Manyara Lake;https://tury.ru/hotel/id/62609-tanzania-manyara-e-unoto-retreat-luxury-lodge-5
Ellerman House; 5*;Отель Ellerman House 5* (Эллерман Хаус 5*) один из основных международных эксклюзивных и приватных мест отдыха. Расположен на побережье Атлантического океана и отделен от шумного Кейп Тауна.;180 Kloof Rd Bantry Bay, Capetown, 8005 Bantry Bay, Cape Town 8060, South Africa;https://tury.ru/hotel/id/64942-rsa-capetown-ellerman-house-5
Four Seasons Chinzan-so Tokyo; 5*;Four Seasons Chinzan-so Tokyo 5* (Фор Сизан Чинсан-со Токио 5*)  отель расположеный в центре Токио, рядом с деловыми кварталами и основными достопримечательностями города, в 60 км (1,5 часа езды) от международного токийского аэропорта Narita, в 10 минутах ходьбы от станции метро Edogawabashi Station. Отель находится внутри пышного японского сада. В отеле Вы увидите шикарные и просторные номера, изобилующие изысканным интерьером и новомодным оборудованием. Номера выполнены в смешении европейского и японского стилей;10-8, Sekiguchi 2-chome, Bunkyo-ku, Tokyo, Japan, 112-8667;https://tury.ru/hotel/id/75325-japan-tokyo-four-seasons-chinzan-so-tokyo-5
Four Seasons Marunouchi Tokyo; 5*;Four Seasons Marunouchi Tokyo 5*  (Фор Сизн Мариночи Токио 5*)  отель расположен в центральном деловом районе Marunouchi, рядом со станцией метро и на небольшом расстоянии от знаменитого Гинза.  Отель предлагает роскошные номера и безупречное обслуживание;1-11-1 Marunouchi, Chiyoda-ku, Tokyo, Japan, 100-6277;https://tury.ru/hotel/id/75298-japan-tokyo-four-seasons-marunouchi-tokyo-5
Geejam; 5*;"Geejam (Джиджам) расположен на шести акрах пышных садов. Здесь растут авокадо, хлебные деревья, кешью, сливы, карамбола и многие другие деревья, между которыми проложены каменные дорожки, соединяющие виллы. Здесь великолепие природы сочетается с домашним комфортом. Главная изюминка отеля - профессиональная студия звукозаписи, где успели поработать многие известные музыканты, в числе которых Gorillaz, Gwen Stefani и Bjork. Журнал «Travel + Leisure» включил отель в число лучших отелей мира. В непосредственной близости от него находятся водопады Рейх и Сомерсет.";San San, Port Antonio, Jamaica;https://tury.ru/hotel/id/99463-jamaica-port-antonio-geejam-5
Gran Bahia Principe Tulum; 5*;Gran Bahia Principe Tulum (Гран Бая Принципе Тулум) расположен на одном из лучших пляжей Канкуна. Дизайн отеля был полностью спроектирован мексиканским архитектором и готов принимать Вас со всей, присущей мексиканцам теплотой и радушием. При строительстве были использованы только натуральное дерево, мрамор. Отель расположен в часе езды от международного аэропорта Канкуна, 30 минутах от пляжа Кармен и 20 минутах от Тулума.;Playa Aventuras Akumal. Crtra. Xetumal - Cancun, Km. 251, 77760 Quintana Roo. RIVIERA MAYA (Mexico);https://tury.ru/hotel/id/73033-mexico-akumal-gran-bahia-principe-tulum-5
Gran Hotel Son Net; 5*;"Gran Hotel Son Net 5* – это изысканный отель класса LUXE на Майорке, замечательная усадьба XVII века, изящно отреставрированная и превратившаяся в отель в горах Серра-де-Трамунтана (внесена ЮНЕСКО в Список всемирного наследия человечества). Бутик-отель отображает сущность майоркского классицизма благодаря просторным и очень светлым номерам, потрясающим панорамам и радушному обслуживанию с индивидуальным подходом. Среди гостей отеля были такие знаменитости, как Рафаэль Надаль, Майкл Дуглас, Джек Николсон, Тони Кросс и многие другие.Отель Son Net получил премию «Most Excellent Hotel Europe & Mediterranean» по версии издания Conde Nast Johansens в 2013 году.";Castillo Son Net s/n, 07194 РџСѓС‡РїСѓРЅСЊРµРЅС‚, Р?СЃРїР°РЅРёСЏ;https://tury.ru/hotel/id/62300-spain-puigpunyent-gran-hotel-son-net-5
Grand Avenue Boutique Villas and Spa; 5*;"Grand Avenue Boutique Villas and Spa 5* (Гранд Авеню Бутик Виллас энд Спа 5*) расположены в самом сердце уединенной древней деревни Kerobokan в окружении живописных рисовых полей.Дизайн вилл, вдохновленный балийской архитектурой, выполнен в современном дизайне с посредством передовых решений и отражает концепцию благородной роскоши во внутреннем и внешнем убранстве. Для Вашего удобства, каждая вилла располагает полностью оборудованной кухней, приватным бассейном, гостиной зоной и столовой, а ванная комната оснащена глубокой ванной и гибким душем. Отель предлагает к размещению 10 вилл, с одной или двумя спальнями, поэтому и молодые пары, и семьи с детьми, и большие компании имеют возможности для выбора наиболее комфортных условий.";Jalan Bumbak No. 22, Kerobokan-Kuta, Bali 80361;https://tury.ru/hotel/id/79525-indonesia-bali-grand-avenue-boutique-villas-and-spa-5
Grand Bohemian Hotel Asheville; 5*;"Grand Bohemian Hotel Asheville (Гранд Бохемиан Хотел Эшвиль) находится в нескольких шагах от ворот известного поместья Билтмор Эстейт, настоящего уголка Старого мира в Новом свете. Классический европейский стиль отеля органично сочетается с современными удобствами и высококлассным сервисом. Внутри каждого из 104 роскошных номеров царит атмосфера умиротворения и великолепный стиль эпохи Тюдоров. Они перенесут вас в совершенно другую эпоху - эпоху, когда мебель делали вручную, а потолки украшали элегантные люстры.";11 Boston Way, Asheville, NC 28803;https://tury.ru/hotel/id/99157-usa-north-carolina-grand-bohemian-hotel-asheville-5
Grand Hotel Plaza; 5*;"Отель Grand Hotel Plaza 5* (Гранд Хотел Плаза 5*) -  это один из самых престижных отелей класса люкс в Риме. Расположен в историческом центре Вечного города, всего в нескольких шагах от Тринита дей Монти, известной под названием ""Испанская лестница"", рядом с улицей Виа Кондотти с её элитными магазинами. Все 200 просторных  номеров и люксов воплощают в себе свойственную Риму элегантность и изысканность";Via del Corso 126, РЎРїР°РЅСЊСЏ, 00186 Р РёРј, Р?С‚Р°Р»РёСЏ;https://tury.ru/hotel/id/64309-italy-rome-grand-hotel-plaza-5
